"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Groovy", "Properties", "XML", "Swift", "HTML", "comment", "blank", "total"
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/flutter/generated_plugin_registrant.cc", "C++", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -21
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/flutter/generated_plugin_registrant.h", "C++", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/flutter_window.cpp", "C++", 0, -45, 0, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/flutter_window.h", "C++", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/main.cpp", "C++", 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/resource.h", "C++", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/utils.cpp", "C++", 0, -53, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/utils.h", "C++", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/win32_window.cpp", "C++", 0, -183, 0, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"/Users/henry.liang/projects_git/20230307/ricoms_app/windows/runner/win32_window.h", "C++", 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", -170, -512, -61, -37999, -13, -105, -8, -488, -48, -80, -1703, -4380, -45567
